Versão:	V00004	Classificação nacional de profissões, versão 1994	
Data de execução:	09/03/2009	
  
Nível	Código	Designação	
1	="0"	="Membros das forças armadas"	
2	="0.1"	="Membros das forças armadas"	
3	="0.1.0"	="Membros das forças armadas"	
4	="0.1.0.0"	="Membros das forças armadas"	
5	="0.1.0.0.00"	="Membros das forças armadas"	
1	="1"	="Quadros superiores da administração pública, dirigentes e quadros superiores de empresas"	
2	="1.1"	="Quadros superiores da administração pública"	
3	="1.1.2"	="Quadros superiores da administração pública"	
4	="1.1.2.0"	="Quadros superiores da administração pública"	
5	="1.1.2.0.05"	="Embaixador"	
5	="1.1.2.0.10"	="Cônsul"	
5	="1.1.2.0.15"	="Director geral - administração pública"	
5	="1.1.2.0.20"	="Secretário geral"	
5	="1.1.2.0.25"	="Director de serviços - administração pública"	
5	="1.1.2.0.30"	="Chefe de divisão - administração pública"	
5	="1.1.2.0.90"	="Outros quadros superiores da administração pública"	
3	="1.1.4"	="Dirigentes e quadros superiores de organizações especializadas"	
4	="1.1.4.3"	="Dirigentes e quadros superiores de organizações humanitárias e outras organizações especializadas"	
5	="1.1.4.3.05"	="Dirigente de organização humanitária e outras"	
5	="1.1.4.3.90"	="Outros quadros dirigentes e quadros superiores de organização humanitária e outras organizações especializadas"	
2	="1.2"	="Directores de empresa"	
3	="1.2.1"	="Directores gerais"	
4	="1.2.1.0"	="Directores gerais"	
5	="1.2.1.0.05"	="Director geral"	
5	="1.2.1.0.10"	="Administrador hospitalar"	
5	="1.2.1.0.15"	="Director de produção cinematográfica"	
5	="1.2.1.0.20"	="Director de estação de radiotelevisão"	
5	="1.2.1.0.25"	="Director de estação de radiodifusão"	
5	="1.2.1.0.30"	="Produtor teatral"	
5	="1.2.1.0.35"	="Produtor cinematográfico"	
5	="1.2.1.0.40"	="Produtor de televisão"	
5	="1.2.1.0.90"	="Outros directores gerais"	
3	="1.2.2"	="Directores de produção, exploração e similares"	
4	="1.2.2.1"	="Directores de produção e exploração agrícola e similares"	
5	="1.2.2.1.05"	="Director de exploração agrícola"	
5	="1.2.2.1.10"	="Director de empresa de pescas"	
5	="1.2.2.1.90"	="Outros directores de produção e exploração agrícola e similares"	
4	="1.2.2.2"	="Directores de produção das indústrias transformadora e extractiva"	
5	="1.2.2.2.05"	="Director de produção - indústria transformadora, excepto indústria alimentar"	
5	="1.2.2.2.10"	="Director de produção - indústria extractiva"	
5	="1.2.2.2.15"	="Director de produção - indústria alimentar"	
5	="1.2.2.2.90"	="Outros directores de produção das industrias transformadoras e extractivas"	
4	="1.2.2.3"	="Directores de construção civil e obras públicas"	
5	="1.2.2.3.05"	="Director - construção civil e obras públicas"	
5	="1.2.2.3.90"	="Outros directores de construção civil e obras públicas"	
4	="1.2.2.4"	="Directores de comércio grossista e retalhista"	
5	="1.2.2.4.05"	="Director - comércio retalhista"	
5	="1.2.2.4.10"	="Director - comércio grossista"	
5	="1.2.2.4.90"	="Outros directores do comércio grossista e retalhista"	
4	="1.2.2.5"	="Directores de restauração e hotelaria"	
5	="1.2.2.5.05"	="Director de hotel"	
5	="1.2.2.5.10"	="Director de restaurante"	
5	="1.2.2.5.90"	="Outros directores de restauração e hotelaria"	
4	="1.2.2.6"	="Directores de transportes, entrepostos e telecomunicações"	
5	="1.2.2.6.05"	="Director de telecomunicações"	
5	="1.2.2.6.10"	="Director de transportes"	
5	="1.2.2.6.15"	="Director de entreposto"	
5	="1.2.2.6.90"	="Outros directores de transportes, entrepostos e telecomunicações"	
4	="1.2.2.7"	="Directores de empresas de mediação e prestação de serviços"	
5	="1.2.2.7.05"	="Director de empresas de mediação e serviços"	
5	="1.2.2.7.10"	="Assessor (consultor)"	
5	="1.2.2.7.90"	="Outros directores de empresas de mediação e prestação de serviços"	
4	="1.2.2.8"	="Directores de empresas de serviços pessoais, limpeza e similares"	
5	="1.2.2.8.05"	="Director - empresas de serviços pessoais, de limpeza e similares"	
4	="1.2.2.9"	="Directores de produção e exploração não classificados em outra parte"	
5	="1.2.2.9.05"	="Director de escola"	
5	="1.2.2.9.10"	="Director de serviços de saúde ou serviço social"	
5	="1.2.2.9.15"	="Director de serviços recreativos, culturais e desportivos"	
5	="1.2.2.9.90"	="Outros directores de produção e exploração não classificados em outra parte"	
3	="1.2.3"	="Outros directores de empresas"	
4	="1.2.3.1"	="Directores de serviços administrativos e financeiros"	
5	="1.2.3.1.05"	="Director administrativo"	
5	="1.2.3.1.10"	="Director financeiro"	
5	="1.2.3.1.90"	="Outros directores de serviços administrativos e financeiros"	
4	="1.2.3.2"	="Directores de recursos humanos e relações de trabalho"	
5	="1.2.3.2.05"	="Director de recursos humanos"	
5	="1.2.3.2.90"	="Outros directores de recursos humanos e relações de trabalho"	
4	="1.2.3.3"	="Directores de vendas e comercialização"	
5	="1.2.3.3.05"	="Director comercial"	
5	="1.2.3.3.10"	="Director de vendas"	
5	="1.2.3.3.90"	="Outros directores de vendas e comercialização"	
4	="1.2.3.4"	="Directores de publicidade e relações públicas"	
5	="1.2.3.4.05"	="Director de publicidade"	
5	="1.2.3.4.10"	="Director artístico e criativo"	
5	="1.2.3.4.15"	="Director de contas - publicidade"	
5	="1.2.3.4.20"	="Director de relações públicas"	
5	="1.2.3.4.90"	="Outros directores de publicidade e relações públicas"	
4	="1.2.3.5"	="Directores de compras e distribuição"	
5	="1.2.3.5.05"	="Director de compras"	
5	="1.2.3.5.90"	="Outros directores de compras e distribuição"	
4	="1.2.3.6"	="Directores de serviços informáticos"	
5	="1.2.3.6.05"	="Director de informática"	
5	="1.2.3.6.90"	="Outros directores de serviços informáticos"	
4	="1.2.3.7"	="Directores de serviços de investigação e desenvolvimento"	
5	="1.2.3.7.05"	="Director de investigação e desenvolvimento"	
5	="1.2.3.7.10"	="Director do controlo de qualidade"	
5	="1.2.3.7.90"	="Outros directores de serviços de investigação e desenvolvimento"	
2	="1.3"	="Directores e gerentes de pequenas empresas"	
